Razão Social,CPF/CNPJ,Situação da solicitação,Área da pendência,Documento,Marcas e representações,Pendência
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Avaliação ergonômica, A empresa deve realizar a Análise Ergonômica do Trabalho quando as atividades apresentarem riscos ergonômicos, com o objetivo de avaliar as condições de trabalho e adequá-las às características psicofisiológicas dos trabalhadores. A análise deve estar integrada ao PGR e servir de base para a adoção de medidas de prevenção e melhoria das condições de trabalho.
Base legal: NR-17; NR-01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Capacitação de acordo com a ordem de serviço, A empresa deve elaborar e fornecer Ordem de Serviço aos empregados, antes do início das atividades, informando os riscos do trabalho e as medidas de prevenção, conforme o PGR e as Normas Regulamentadoras, com registro de ciência do trabalhador.
Base legal: CLT, art. 157; NR-01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - Ordens de Serviço, A empresa deve elaborar e fornecer Ordem de Serviço aos empregados, antes do início das atividades, informando os riscos do trabalho e as medidas de prevenção, conforme o PGR e as Normas Regulamentadoras, com registro de ciência do trabalhador.
Base legal: CLT, art. 157; NR-01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,TERCEIROS,,,"PEDRO FERREIRA ARIENTI - ASO, não consta o relatório de assinatura digital, PCMSO encontra-se não conforme para o de para ."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"PCMSO, não consta relatório analítico e mantem não conforme até o ajuste do PGR para o de para ."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"CONVENÇÃO COLETIVA DA CATEGORIA, não identificado: o número do registro no MTE, número de solicitação e/ou número do processo para autenticação da convenção."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"SESMT - composição de acordo com NR 04, Caso a empresa não se enquadre na obrigatoriedade de constituição do SESMT, conforme a NR-04, deve apresentar o analítico da GRF ou documento equivalente que comprove o número de empregados, para verificação do não enquadramento de acordo com o Quadro da NR-04."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"Seguro garantia, deve ser enviado documento correspondente ao  seguro garantia do contrato
com a Zurich."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"GFD - GUIA DO FGTS DIGITAL RESCISÓRIA, para comprovação que não houve rescisão na competência pode ser enviado os documentos abaixo: 
• Relatório do eSocial demonstrando ausência de eventos S-2299 no período
• Folha de pagamento do mês
• SEFIP sem códigos de movimentação de rescisão
• Relatório do FGTS Digital sem eventos rescisórios"
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS, para comprovação que não houve rescisão na competência pode ser enviado os documentos abaixo: 
• Relatório do eSocial demonstrando ausência de eventos S-2299 no período
• Folha de pagamento do mês
• SEFIP sem códigos de movimentação de rescisão
• Relatório do FGTS Digital sem eventos rescisórios"
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"PCMSO
Não consta relatório analítico,
Não consta relatório de assinaturas digitais.
Não consta riscos ergonômicos."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"PGR, 
Páginas 5 e 6 encontra-se ilegíveis,
Não consta relatório das assinaturas digitais,
Não consta AET conforme a NR01."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,"RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO, para comprovação que não houve férias  enviar a folha de pagamento para comprovação."
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,DOCUMENTOS,,,RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"GUSTAVO BAZEN FELTRIN - ASO,  Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"GUSTAVO BAZEN FELTRIN - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"GUSTAVO BAZEN FELTRIN - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"BARBARA GABRIELLA DA SILVA ADMIRAL - ASO, Só será analisado quando o PCMSO for ajustado"
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"BARBARA GABRIELLA DA SILVA ADMIRAL - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"BARBARA GABRIELLA DA SILVA ADMIRAL - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"DANIEL HRABAR JORGE - ASO, Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"DANIEL HRABAR JORGE - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"DANIEL HRABAR JORGE - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"JAIR FERREIRA LUIZ - ASO, Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"JAIR FERREIRA LUIZ - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"JAIR FERREIRA LUIZ - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"JANAINA MACHADO MOURA - ASO, Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"JANAINA MACHADO MOURA - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"JANAINA MACHADO MOURA - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"MARCELO TRINDADE SANTOS - ASO, Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"MARCELO TRINDADE SANTOS - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"MARCELO TRINDADE SANTOS - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"MAURICIO CHAGAS DA SILVA - ASO, Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"MAURICIO CHAGAS DA SILVA - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"MAURICIO CHAGAS DA SILVA - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"VITOR HUGO FURTADO RIBEIRO - ASO,  Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"VITOR HUGO FURTADO RIBEIRO - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"VITOR HUGO FURTADO RIBEIRO - ASO, Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"VITOR HUGO FURTADO RIBEIRO - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"VITOR HUGO FURTADO RIBEIRO - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"YHAGO SOUSA - ASO, Só será analisado quando o PCMSO for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"YHAGO SOUSA - Ordens de Serviço, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"YHAGO SOUSA - Ficha de EPI, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"PCMSO, Só será analisado quando o PGR for ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"PGR, A assinatura deve ser manuscrita ou digital com protocolo. Em caso de assinatura digital, é necessário anexar o relatório/comprovante da assinatura digital, conforme a Lei nº 14.063/2020 e a Lei nº 12.682/2012. Sem ART e sem assinatura da empresa."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"Avaliação ergonômica, O documento é obrigatório pela NR-17 e pode estar anexo ao PGR/GRO, desde que esteja completo. Não será aceito apenas o complemento do inventário de riscos. Solicita-se o envio para regularização."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"LAUDO de insalubridade, Como no PGR existe riscos que necessitam de comprovação do Laudo de Insalubridade e de Periculosidade o documento se torna obrigatório"
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"Laudo de Periculosidade, Como no PGR existe riscos que necessitam de comprovação do Laudo de Insalubridade e de Periculosidade o documento se torna obrigatório."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,Laudo de Periculosidade
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,LAUDO de insalubridade
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"PGR, Não consta a ART , não consta   a assinatura da empresa ."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,BARBARA GABRIELLA DA SILVA ADMIRAL - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,BARBARA GABRIELLA DA SILVA ADMIRAL - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,BARBARA GABRIELLA DA SILVA ADMIRAL - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,DANIEL HRABAR JORGE - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,DANIEL HRABAR JORGE - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,DANIEL HRABAR JORGE - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,GUSTAVO BAZEN FELTRIN - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,GUSTAVO BAZEN FELTRIN - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,GUSTAVO BAZEN FELTRIN - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,JAIR FERREIRA LUIZ - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,JAIR FERREIRA LUIZ - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,JAIR FERREIRA LUIZ - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,JANAINA MACHADO MOURA - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,JANAINA MACHADO MOURA - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,JANAINA MACHADO MOURA - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,MARCELO TRINDADE SANTOS - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,MARCELO TRINDADE SANTOS - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,MARCELO TRINDADE SANTOS - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,MAURICIO CHAGAS DA SILVA - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,MAURICIO CHAGAS DA SILVA - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,MAURICIO CHAGAS DA SILVA - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,VITOR HUGO FURTADO RIBEIRO - ASO
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,VITOR HUGO FURTADO RIBEIRO - Ordens de Serviço
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,VITOR HUGO FURTADO RIBEIRO - Ficha de EPI
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"YHAGO SOUSA - ASO, PCMSO encontra-se não conforme, ajustar o ASO incluindo os exames e data do exame clínico."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"YHAGO SOUSA - Ordens de Serviço, PGR encontra-se não conforme, fazer o ajuste necessário."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,TERCEIROS,,,"YHAGO SOUSA - Ficha de EPI, precisa ajustar o PGR e as informações dos EPIs e assinaturas"
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"PCMSO, só ficará conforme quando o PGR estiver ajustado."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"PGR, não consta a assinatura da empresa."
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,APROVADO,DOCUMENTOS,,,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"JEFERSON BARCELOS DA SILVA - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"FABIANO LEITE FALCÃO - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"MARIA DO SOCORRO DO A SILVA - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"LUCIANO BRAGA VIEIRA - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"CAMILA MOTA DUARTE COSTA - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"MAGNO SILVA - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"FERNANDA DE JESUS DA SILVA - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"EBERSON DA SILVA PERDOMO JUNIOR - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"CHARLES VELOSO PINTO - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"JEFFERSON P DOS S RIBEIRO - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"URANIA TRINDADE SANTANA NATIVIDADE - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"CELIO ALVES PEREIRA - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"EDEVALDO FERREIRA DOS SANTOS - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,TERCEIROS,,,"JAMES CHRISTIANO DA SILVA PASS - Capacitação de acordo com a ordem de serviço, A assinatura deve ser manuscrita ou digital com protocolo, conforme a Lei nº 14.063/2020. Caso seja digital, todo o documento deve estar digitalizado, garantindo integridade e autenticidade, conforme o Art. 3º O processo de digitalização deverá ser realizado de forma a manter a integridade, a autenticidade e, se necessário, a confidencialidade do documento digital, da Lei nº 12.682/2012."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,DOCUMENTOS,PCMSO,,"PCMSO, Após o ajuste do PGR será realizado o de para do PCMSO, PCMSO deve constar a assinatura do médico coordenador."
GRABER SEGURANCA LTDA,87169900001117,APROVADO,DOCUMENTOS,PGR,,"PGR, Sem Plano de Ação, 1.5.5.2.1 A organização deve elaborar plano de ação, indicando as medidas de prevenção a serem
introduzidas, aprimoradas ou mantidas, conforme o subitem 1.5.4.4.5."
