Pe Nome Razaosocial,Pe Cpf Cnpj,Tb Pessoa Doc Certidao → Pdc Texto Pendencia,Tb Documento Certidao - Dc → Dc Titulo,Tb Solicitacao - So → So Situacao,Tb Marca Representacao - Mr → Mr Nome
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"Laudo de Periculosidade - 05/26 - Maio 2026:  Após a regularização de CCT, PCMSO/PGR,  será realizada nova análise. 
Documentos devem estar alinhados com a mesma localidade, onde é realizado serviços, e alocados os colaboradores cobertos pela proteção dos programas de segurança.",Laudo de Periculosidade,APROVADO,05/26 - Maio 2026
SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,12069791000195,"PCMSO, Após o ajuste do PGR será analisado o PCMSO.",PCMSO - GERAL,APROVADO,
SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,12069791000195,"PGR, Deve constar o plano de ação.
1.5.5.2.1 A organização deve elaborar plano de ação, indicando as medidas de prevenção a serem
introduzidas, aprimoradas ou mantidas, conforme o subitem 1.5.4.4.5.",PGR - GERAL,APROVADO,
PROTEG SEGURANCA PATRIMONIAL LTDA,08699066000123,"PCMSO, não consta a assinatura do médico coordenador do PCMSO.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,12069791000195,"KIT RESCISÃO, TRCT, comprovante de pagamento das verbas rescisórias, aviso-prévio (trabalhado ou indenizado), ASO demissional (NR-07), GFD – FGTS Digital Rescisória (guia, detalhamento e comprovante), extrato do FGTS, chave de liberação do FGTS, Comunicação de Dispensa/Seguro-Desemprego (quando aplicável) e homologação sindical, quando exigida por convenção coletiva. Devidamente assinados",KIT RESCISÃO,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"PGR, Sem Plano de Ação, 1.5.5.2.1 A organização deve elaborar plano de ação, indicando as medidas de prevenção a serem
introduzidas, aprimoradas ou mantidas, conforme o subitem 1.5.4.4.5.",PGR - GERAL,APROVADO,
PROTEG SEGURANCA PATRIMONIAL LTDA,08699066000123,"Avaliação ergonômica, Deve ser enviado o documento solicitado.",Avaliação ergonômica,APROVADO,03/26 - Março 2026
GRABER SEGURANCA LTDA,87169900001117,"PCMSO, Após o ajuste do PGR será realizado o de para do PCMSO, PCMSO deve constar a assinatura do médico coordenador.",PCMSO - GERAL,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"PGR, Sem Plano de Ação, 1.5.5.2.1 A organização deve elaborar plano de ação, indicando as medidas de prevenção a serem
introduzidas, aprimoradas ou mantidas, conforme o subitem 1.5.4.4.5.",PGR - GERAL,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"PCMSO, Após o ajuste do PGR será realizado o de para do PCMSO, PCMSO deve constar a assinatura do médico coordenador.",PCMSO - GERAL,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
UP EMERGENCIAS LTDA,02906702000164,"PGR: Documento apresenta omissões graves: ausência total do Inventário de Riscos Ocupacionais por função/GHE, ausência do Plano de Ação/Cronograma obrigatório e falta de assinatura do profissional técnico responsável. Sem estes anexos práticos, o programa carece de validade legal. O documento deve ser reemitido na íntegra, com data atualizada.",PGR - GERAL,APROVADO,
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"Laudo de insalubridade - 05/26 - Maio 2026:  

Após a regularização de CCT, PCMSO/PGR, será realizada nova análise. Documentos devem estar alinhados com a mesma localidade, onde é realizado serviços, e alocados os colaboradores cobertos pela proteção dos programas de segurança.",Laudo de insalubridade,APROVADO,05/26 - Maio 2026
SOUZA COSTA MANUTENCAO LTDA,34939789000162,"DCTFWEB - 02/26: Base previdenciária dos segurados (R$ 20.059,34) adota salários contratuais abaixo do piso normativo da CCT SINDUSCON/RN, configurando recolhimento previdenciário a menor. Ademais, a guia ratifica a ausência de retenção obrigatória de 11% de INSS sobre o Pró-Labore do administrador. Retificação da folha,  e emissão de DCTFWeb complementar.",DCTFWEB,APROVADO,02/26 - Fevereiro 2026
SOUZA COSTA MANUTENCAO LTDA,34939789000162,"CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS - 02/26 - Fevereiro 2026: 

Regularizar e atualizar documento.",CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,APROVADO,02/26 - Fevereiro 2026
SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,12069791000195,"DCTFWEB, Deve ser enviada a DCTFWEB completa .
Uma DCTFWeb completa precisa ter:
Base correta (eSocial + Reinf)
Débitos apurados corretamente
Créditos lançados
DARF gerado
Transmissão sem pendências",DCTFWEB,APROVADO,02/26 - Fevereiro 2026
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,"GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS, como teve rescisão deve ter as guias do FGTS rescisório.",GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,APROVADO,
LEVE ESTACIONAMENTO LTDA,34331150000108,"Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,03/26 - Março 2026
MATICA ENGENHARIA LTDA,20845454000170,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"DECLARAÇÃO DE EXISTÊNCIA DE SUBCONTRATAÇÃO, documento divergente do solicitado.",DECLARAÇÃO DE EXISTÊNCIA DE SUBCONTRATAÇÃO,APROVADO,03/26 - Março 2026
MATICA ENGENHARIA LTDA,20845454000170,"PCMSO, Não consta assinatura do médico responsável pelo documento.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
MATICA ENGENHARIA LTDA,20845454000170,"PGR, A ART precisa constar no PGR com duas assinaturas, do engenheiro e do responsável pela empresa.",PGR - GERAL,APROVADO,03/26 - Março 2026
MATICA ENGENHARIA LTDA,20845454000170,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO), deve ser enviado o documento solicitado.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"GFD - GUIA DO FGTS DIGITAL MENSAL, deve  ser enviado o documento solicitado.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS, deve ser enviado o comprovante bancário do pagamento dos salários dos colaboradores que prestam serviços na Zurich.",COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"Laudo de Periculosidade, deve ser enviado o documento solicitado.",Laudo de Periculosidade,APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"Laudo de insalubridade, deve ser apresentado documento solicitado.",Laudo de insalubridade,APROVADO,
MATICA ENGENHARIA LTDA,20845454000170,"Avaliação ergonômica, deve ser enviado o documento solicitado.",Avaliação ergonômica,APROVADO,
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,"CERTIDÃO NEGATIVA RECEITA MUNICIPAL, documento divergente, deve ser enviado o documento solicitado.",CERTIDÃO NEGATIVA RECEITA MUNICIPAL,APROVADO,02/26 - Fevereiro 2026
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,"PCMSO, Documento sem assinatura do médico coordenador do PCMSO.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO), documento incompleto.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,03/26 - Março 2026
GRABER SEGURANCA LTDA,87169900001117,"PGR, Deve ser enviado o documento solicitado.",PGR - GERAL,APROVADO,03/26 - Março 2026
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,"RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO - 02/26 - Fevereiro 2026.

RECIBOS DE FÉRIAS devem estar assinados pelos colaboradores e gestores imediatos.",RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,CANCELADO,02/26 - Fevereiro 2026
GRABER SEGURANCA LTDA,87169900001117,"Laudo de insalubridade, deve ser enviado o documento solicitado.",Laudo de insalubridade,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"Laudo de Periculosidade, deve ser enviado o documento solicitado.",Laudo de Periculosidade,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"CIPA - composição / reuniões / atas/ treinamento,  Caso não se enquadre, deve apresentar o documento formal de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"PCMSO, Deve ser enviado o documento solicitado.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 03/26 - Março 2026.

* O Holerite (recibo de pagamento) não possui a mesma validade fiscal que a Folha de Pagamento (FOPAG). O documento consolidado exigido pela legislação fiscal e previdenciária (Art. 225 do Decreto nº 3.048/1999).",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),CANCELADO,03/26 - Março 2026
LEVE ESTACIONAMENTO LTDA,34331150000108,"Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,03/26 - Março 2026
SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,12069791000195,"SESMT - composição de acordo com NR 04, Trazer junto da declaração documento que comprove quantidade total de trabalhadores ativos, podendo ser o E-social, GFIP/SEFIP.",SESMT - composição de acordo com NR 04,APROVADO,
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 04/26 - Abril 2026.

* O Holerite (recibo de pagamento) não possui a mesma validade fiscal que a Folha de Pagamento (FOPAG). O documento consolidado exigido pela legislação fiscal e previdenciária (Art. 225 do Decreto nº 3.048/1999).",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),CANCELADO,04/26 - Abril 2026
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"SESMT - composição de acordo com NR 04, Trazer junto da declaração documento que comprove quantidade total de trabalhadores ativos, podendo ser o E-social, GFIP/SEFIP.",SESMT - composição de acordo com NR 04,APROVADO,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,02/26 - Fevereiro 2026
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,02/26 - Fevereiro 2026
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"Avaliação ergonômica, deve ser enviado o documento solicitado.",Avaliação ergonômica,APROVADO,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"SESMT - composição de acordo com NR 04, Trazer junto da declaração documento que comprove quantidade total de trabalhadores ativos, podendo ser o E-social, GFIP/SEFIP.",SESMT - composição de acordo com NR 04,APROVADO,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,02/26 - Fevereiro 2026
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,02/26 - Fevereiro 2026
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"Avaliação ergonômica, deve ser enviado o documento solicitado.",Avaliação ergonômica,APROVADO,
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,"PCMSO - 01/26 - Janeiro 2026, sem relatório de assinatura digital.",PCMSO - GERAL,APROVADO,01/26 - Janeiro 2026
RADAR ENGENHARIA E MEIO AMBIENTE LTDA,44744093000134,"DCTFWEB, TRCT, comprovante de pagamento das verbas rescisórias, aviso-prévio (trabalhado ou indenizado), ASO demissional (NR-07), GFD – FGTS Digital Rescisória (guia, detalhamento e comprovante), extrato do FGTS, chave de liberação do FGTS, Comunicação de Dispensa/Seguro-Desemprego (quando aplicável) e homologação sindical, quando exigida por convenção coletiva. Devidamente assinados",DCTFWEB,APROVADO,
PROTEG SEGURANCA PATRIMONIAL LTDA,08699066000123,"PCMSO - 02/26 - Fevereiro 2026, sem assinatura do responsável pelo PCMSO.",PCMSO - GERAL,APROVADO,02/26 - Fevereiro 2026
MATICA ENGENHARIA LTDA,20845454000170,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
