Documento Fornecedor,Fornecedor,Contrato 1,Contrato 2,Contrato 3,Contrato 4,Contrato 5,Contrato 6,Contrato 7,Contrato 8,Contrato 9,Contrato 10,Filial1,Filial2,Filial3,Filial4,Filial5,Filial6
79283065000141,ORBENK ADMINISTRACAO E SERVICOS LTDA.,CAIF.24.MA.0445,CAIF.25.TECA.1673,,,,,,,,,CAIF,,,,,
08699066000123,PROTEG SEGURANCA PATRIMONIAL LTDA,CAIN.SUP.23.009-00,,,,,,,,,,CAIN,,,,,
24204038000144,PROTOS ENGENHARIA LTDA,,,,,,,,,,,,,,,,
49663037000199,R.J.V ENGENHARIA LTDA,,,,,,,,,,,,,,,,
07882647000133,R.M. LOCADORA DE VEICULOS E TURISMO LTDA,,,,,,,,,,,,,,,,
48860659000144,RACHADEL SERVICOS E TECNOLOGIA LTDA,24.003-00,FLN,,,,,,,,,,,,,,
44744093000134,RADAR ENGENHARIA E MEIO AMBIENTE LTDA,MEA,VIX,NAT,FLN,,,,,,,CAIF,,,,,
12069791000195,SAO FRANCISCO ATENDIMENTO EMERGENCIAL LTDA,CAIN.SUP.23.008-00,,,,,,,,,,CAIN,,,,,
03528489000167,SMS ESTACIONAMENTOS E SERVICOS LTDA,FLN.CT.24.013-00,,,,,,,,,,CAIF,,,,,
34939789000162,SOUZA COSTA MANUTENCAO LTDA,Nº CAIN. 25.ENG.1883,,,,,,,,,,,,,,,
79345583000142,TELETEX COMPUTADORES E SISTEMAS LTDA,CAIN.25.TI.1277,VIX.25.TI.1277,CAIF.25.TI.1277,MEA.25.TI.1277,,,,,,,CAIF,,,,,
79345583000304,TELETEX COMPUTADORES E SISTEMAS LTDA,,,,,,,,,,,,,,,,
21591994000138,TERRAPLEIN LTDA,CAIF. 25.ENG.1463,,VIX. 24.ENG.0357,,,,,,,,,,,,,
09265066000188,TERRAPRIME CONSTRUTORA E INCORPORADORA LTDA,,,,,,,,,,,,,,,,
00973749000115,TOP SERVICE SERVICOS E SISTEMAS S/A,23.024-00,FLN,,,,,,,,,CAIF,,,,,
00973749001863,TOP SERVICE SERVICOS E SISTEMAS S/A,CAIN.SUP.23.011-00,,,,,,,,,,CAIN,,,,,
00973749002401,TOP SERVICE SERVICOS E SISTEMAS S/A,,,,,,,,,,,,,,,,
02906702000164,UP EMERGENCIAS LTDA,FLN.CT.23.029-00,,,,,,,,,,,,,,,
15006247000192,"VANDERLANDE INDUSTRIES DO BRASIL COMERCIALIZACAO, IMPORTACAO E INSTALACAO DE SISTEMAS DE BAGAGEM LTD",ZAB. 26.MAN.2562,,,,,,,,,,CAIN,VIX,CAIF,,,
15006247000516,"VANDERLANDE INDUSTRIES DO BRASIL COMERCIALIZACAO, IMPORTACAO E INSTALACAO DE SISTEMAS DE BAGAGEM LTD",ZAB.MAN.2562,,,,,,,,,,CAIF,CAIN,VIX,,,
15006247000869,"VANDERLANDE INDUSTRIES DO BRASIL COMERCIALIZACAO, IMPORTACAO E INSTALACAO DE SISTEMAS DE BAGAGEM LTD",ZAB. 26.MAN.2562,,,,,,,,,,CAIN,VIX,CAIF,,,
57559387000995,VERZANI & SANDRINI S.A.,MEA.CT.23.022-00,,,,,,,,,,MEA,,,,,
32401341000165,VISEL VIGILANCIA E SEGURANCA LTDA,,,,,,,,,,,,,,,,
05617497000105,WSO TECNOLOGIA E ENERGIAS RENOVAVEIS LTDA.,,,,,,,,,,,,,,,,
